TargetName,MatrisomeDivision,MatrisomeCategory
PTN,Matrisome-associated,Secreted Factors
ADAMTSL5,Matrisome-associated,ECM Regulators
S100A4,Matrisome-associated,Secreted Factors
CCN1,Core matrisome,ECM Glycoproteins
BMP1,Matrisome-associated,ECM Regulators
EGLN3,Matrisome-associated,ECM Regulators
LRG1,Core matrisome,ECM Glycoproteins
IFNA16,Matrisome-associated,Secreted Factors
DHH,Matrisome-associated,Secreted Factors
HYAL2,Matrisome-associated,ECM Regulators
CSPG4,Matrisome-associated,ECM-affiliated Proteins
ANXA7,Matrisome-associated,ECM-affiliated Proteins
TNXB,Core matrisome,ECM Glycoproteins
IL6,Matrisome-associated,Secreted Factors
CST4,Matrisome-associated,ECM Regulators
CSH2,Matrisome-associated,Secreted Factors
AGRN,Core matrisome,ECM Glycoproteins
INTS6L,Core matrisome,ECM Glycoproteins
ZFP91,Matrisome-associated,Secreted Factors
MUC21,Matrisome-associated,ECM-affiliated Proteins
PF4,Matrisome-associated,Secreted Factors
FGF6,Matrisome-associated,Secreted Factors
COL18A1,Core matrisome,Collagens
TIMP4,Matrisome-associated,ECM Regulators
LIF,Matrisome-associated,Secreted Factors
WIF1,Matrisome-associated,Secreted Factors
SEMA3A,Matrisome-associated,ECM-affiliated Proteins
HAPLN4,Core matrisome,Proteoglycans
SDC3,Matrisome-associated,ECM-affiliated Proteins
MATN4,Core matrisome,ECM Glycoproteins
S100B,Matrisome-associated,Secreted Factors
IL34,Matrisome-associated,Secreted Factors
ADAM23,Matrisome-associated,ECM Regulators
CCL26,Matrisome-associated,Secreted Factors
PLXNA2,Matrisome-associated,ECM-affiliated Proteins
CRLF3,Matrisome-associated,Secreted Factors
CST8,Matrisome-associated,ECM Regulators
S100A6,Matrisome-associated,Secreted Factors
FGF8,Matrisome-associated,Secreted Factors
SERPINB6,Matrisome-associated,ECM Regulators
COL11A1,Core matrisome,Collagens
ADAM32,Matrisome-associated,ECM Regulators
ADAMTS3,Matrisome-associated,ECM Regulators
IL36RN,Matrisome-associated,Secreted Factors
EBI3,Matrisome-associated,Secreted Factors
ANXA2,Matrisome-associated,ECM-affiliated Proteins
WNT8A,Matrisome-associated,Secreted Factors
LTBP4,Core matrisome,ECM Glycoproteins
IGFBP4,Core matrisome,ECM Glycoproteins
SRGN,Core matrisome,Proteoglycans
CCL8,Matrisome-associated,Secreted Factors
SPON2,Core matrisome,ECM Glycoproteins
SERPINA3,Matrisome-associated,ECM Regulators
ANXA1,Matrisome-associated,ECM-affiliated Proteins
INHA,Matrisome-associated,Secreted Factors
EGLN1,Matrisome-associated,ECM Regulators
TIMP2,Matrisome-associated,ECM Regulators
CLEC17A,Matrisome-associated,ECM-affiliated Proteins
MUCL1,Matrisome-associated,ECM-affiliated Proteins
C1QTNF6,Matrisome-associated,ECM-affiliated Proteins
ANXA5,Matrisome-associated,ECM-affiliated Proteins
FGF12,Matrisome-associated,Secreted Factors
IGFBP2,Core matrisome,ECM Glycoproteins
VWA5A,Core matrisome,ECM Glycoproteins
GDF6,Matrisome-associated,Secreted Factors
MASP2,Matrisome-associated,ECM Regulators
ASTL,Matrisome-associated,ECM Regulators
COL6A2,Core matrisome,Collagens
NCAN,Core matrisome,Proteoglycans
NRG1,Matrisome-associated,Secreted Factors
CTSB,Matrisome-associated,ECM Regulators
NPNT,Core matrisome,ECM Glycoproteins
PLOD3,Matrisome-associated,ECM Regulators
SEMA3E,Matrisome-associated,ECM-affiliated Proteins
MFAP3,Core matrisome,ECM Glycoproteins
MEGF8,Matrisome-associated,Secreted Factors
FGF14,Matrisome-associated,Secreted Factors
S100A13,Matrisome-associated,Secreted Factors
ADAMTS10,Matrisome-associated,ECM Regulators
CLEC14A,Matrisome-associated,ECM-affiliated Proteins
LGI3,Core matrisome,ECM Glycoproteins
S100A11,Matrisome-associated,Secreted Factors
AGT,Matrisome-associated,ECM Regulators
GDF11,Matrisome-associated,Secreted Factors
ITIH4,Matrisome-associated,ECM Regulators
NGLY1,Matrisome-associated,ECM Regulators
EMCN,Matrisome-associated,ECM-affiliated Proteins
P4HA2,Matrisome-associated,ECM Regulators
COL5A2,Core matrisome,Collagens
SERPIND1,Matrisome-associated,ECM Regulators
CTSZ,Matrisome-associated,ECM Regulators
PLOD1,Matrisome-associated,ECM Regulators
A2M,Matrisome-associated,ECM Regulators
PLXDC2,Matrisome-associated,ECM-affiliated Proteins
ADAMTS4,Matrisome-associated,ECM Regulators
NTNG2,Core matrisome,ECM Glycoproteins
COL4A1,Core matrisome,Collagens
HYAL2,Matrisome-associated,ECM Regulators
CRELD1,Core matrisome,ECM Glycoproteins
CCN2,Core matrisome,ECM Glycoproteins
PRELP,Core matrisome,Proteoglycans
FBN3,Core matrisome,ECM Glycoproteins
C1QB,Matrisome-associated,ECM-affiliated Proteins
HHIP,Matrisome-associated,Secreted Factors
TNFSF12,Matrisome-associated,Secreted Factors
C1QL2,Matrisome-associated,ECM-affiliated Proteins
CCL2,Matrisome-associated,Secreted Factors
COL9A2,Core matrisome,Collagens
F7,Matrisome-associated,ECM Regulators
CCL3,Matrisome-associated,Secreted Factors
CLEC10A,Matrisome-associated,ECM-affiliated Proteins
SEMA6B,Matrisome-associated,ECM-affiliated Proteins
CBLN2,Matrisome-associated,Secreted Factors
MMP28,Matrisome-associated,ECM Regulators
WNT9B,Matrisome-associated,Secreted Factors
CSTB,Matrisome-associated,ECM Regulators
FGF17,Matrisome-associated,Secreted Factors
MDK,Matrisome-associated,Secreted Factors
EDIL3,Core matrisome,ECM Glycoproteins
SPP1,Core matrisome,ECM Glycoproteins
IGFBP4,Core matrisome,ECM Glycoproteins
HSPG2,Core matrisome,Proteoglycans
PLOD3,Matrisome-associated,ECM Regulators
SPOCK3,Core matrisome,Proteoglycans
ADAMTS10,Matrisome-associated,ECM Regulators
LAMB2,Core matrisome,ECM Glycoproteins
EGLN3,Matrisome-associated,ECM Regulators
LOXL4,Matrisome-associated,ECM Regulators
MEGF10,Matrisome-associated,Secreted Factors
COL5A3,Core matrisome,Collagens
THBS3,Core matrisome,ECM Glycoproteins
MUC20,Matrisome-associated,ECM-affiliated Proteins
ADAMTSL5,Matrisome-associated,ECM Regulators
CXCL13,Matrisome-associated,Secreted Factors
TGFB2,Matrisome-associated,Secreted Factors
COL11A2,Core matrisome,Collagens
HAPLN4,Core matrisome,Proteoglycans
IGFBP5,Core matrisome,ECM Glycoproteins
HAPLN2,Core matrisome,Proteoglycans
NODAL,Matrisome-associated,Secreted Factors
PRSS3,Matrisome-associated,ECM Regulators
SEMA3E,Matrisome-associated,ECM-affiliated Proteins
CELA2A,Matrisome-associated,ECM Regulators
PARM1,Matrisome-associated,ECM-affiliated Proteins
S100A16,Matrisome-associated,Secreted Factors
P4HA1,Matrisome-associated,ECM Regulators
C1QTNF6,Matrisome-associated,ECM-affiliated Proteins
MUC12,Matrisome-associated,ECM-affiliated Proteins
CLEC4E,Matrisome-associated,ECM-affiliated Proteins
SERPINB7,Matrisome-associated,ECM Regulators
INTS6L,Core matrisome,ECM Glycoproteins
LGI4,Core matrisome,ECM Glycoproteins
CX3CL1,Matrisome-associated,Secreted Factors
TIMP1,Matrisome-associated,ECM Regulators
SPOCK1,Core matrisome,Proteoglycans
BMP1,Matrisome-associated,ECM Regulators
LGI1,Core matrisome,ECM Glycoproteins
POMZP3,Core matrisome,ECM Glycoproteins
LTBP4,Core matrisome,ECM Glycoproteins
FGF13,Matrisome-associated,Secreted Factors
MATN4,Core matrisome,ECM Glycoproteins
BRINP2,Matrisome-associated,Secreted Factors
EMILIN1,Core matrisome,ECM Glycoproteins
SPOCK2,Core matrisome,Proteoglycans
SEMA4D,Matrisome-associated,ECM-affiliated Proteins
GDF6,Matrisome-associated,Secreted Factors
IL1F10,Matrisome-associated,Secreted Factors
S100Z,Matrisome-associated,Secreted Factors
SNED1,Core matrisome,ECM Glycoproteins
IFNA5,Matrisome-associated,Secreted Factors
NGLY1,Matrisome-associated,ECM Regulators
TNR,Core matrisome,ECM Glycoproteins
AMH,Matrisome-associated,Secreted Factors
FCN1,Matrisome-associated,ECM-affiliated Proteins
ADAMTS13,Matrisome-associated,ECM Regulators
SFTPC,Matrisome-associated,ECM-affiliated Proteins
COL4A2,Core matrisome,Collagens
CTSE,Matrisome-associated,ECM Regulators
NTNG1,Core matrisome,ECM Glycoproteins
FAM20C,Matrisome-associated,ECM Regulators
ANXA7,Matrisome-associated,ECM-affiliated Proteins
ADAMTS6,Matrisome-associated,ECM Regulators
SDC3,Matrisome-associated,ECM-affiliated Proteins
PLXNB1,Matrisome-associated,ECM-affiliated Proteins
GH1,Matrisome-associated,Secreted Factors
NCAN,Core matrisome,Proteoglycans
VEGFB,Matrisome-associated,Secreted Factors
GAS6,Core matrisome,ECM Glycoproteins
LOXL2,Matrisome-associated,ECM Regulators
MUCL1,Matrisome-associated,ECM-affiliated Proteins
S100A7,Matrisome-associated,Secreted Factors
S100A10,Matrisome-associated,Secreted Factors
WIF1,Matrisome-associated,Secreted Factors
GDF5,Matrisome-associated,Secreted Factors
SLIT2,Core matrisome,ECM Glycoproteins
IGFBP7,Core matrisome,ECM Glycoproteins
COL6A1,Core matrisome,Collagens
CCL19,Matrisome-associated,Secreted Factors
C1QL3,Matrisome-associated,ECM-affiliated Proteins
PGF,Matrisome-associated,Secreted Factors
SEMA6A,Matrisome-associated,ECM-affiliated Proteins
BMP8B,Matrisome-associated,Secreted Factors
LAMA5,Core matrisome,ECM Glycoproteins
IL36RN,Matrisome-associated,Secreted Factors
PDGFB,Matrisome-associated,Secreted Factors
S100B,Matrisome-associated,Secreted Factors
MEGF11,Matrisome-associated,Secreted Factors
IL7,Matrisome-associated,Secreted Factors
FGF6,Matrisome-associated,Secreted Factors
SFRP2,Matrisome-associated,Secreted Factors
TNXB,Core matrisome,ECM Glycoproteins
ANXA1,Matrisome-associated,ECM-affiliated Proteins
WNT3,Matrisome-associated,Secreted Factors
CSH2,Matrisome-associated,Secreted Factors
SMOC2,Core matrisome,ECM Glycoproteins
IGF2,Matrisome-associated,Secreted Factors
SERPINH1,Matrisome-associated,ECM Regulators
ANXA11,Matrisome-associated,ECM-affiliated Proteins
TIMP2,Matrisome-associated,ECM Regulators
TIMP4,Matrisome-associated,ECM Regulators
SERPINI1,Matrisome-associated,ECM Regulators
SERPINF1,Matrisome-associated,ECM Regulators
ELN,Core matrisome,ECM Glycoproteins
CLEC3B,Matrisome-associated,ECM-affiliated Proteins
ANXA9,Matrisome-associated,ECM-affiliated Proteins
SEMA6C,Matrisome-associated,ECM-affiliated Proteins
COL1A2,Core matrisome,Collagens
VWA5A,Core matrisome,ECM Glycoproteins
COL27A1,Core matrisome,Collagens
CTSD,Matrisome-associated,ECM Regulators
TNFSF14,Matrisome-associated,Secreted Factors
C1QC,Matrisome-associated,ECM-affiliated Proteins
WNT10A,Matrisome-associated,Secreted Factors
MFGE8,Core matrisome,ECM Glycoproteins
IL6,Matrisome-associated,Secreted Factors
CTSA,Matrisome-associated,ECM Regulators
FGF12,Matrisome-associated,Secreted Factors
CLEC6A,Matrisome-associated,ECM-affiliated Proteins
WNT8A,Matrisome-associated,Secreted Factors
LTBP1,Core matrisome,ECM Glycoproteins
IL25,Matrisome-associated,Secreted Factors
FGF2,Matrisome-associated,Secreted Factors
FGF8,Matrisome-associated,Secreted Factors
PLXNA1,Matrisome-associated,ECM-affiliated Proteins
LTBP3,Core matrisome,ECM Glycoproteins
TIMP3,Matrisome-associated,ECM Regulators
PLAT,Matrisome-associated,ECM Regulators
BCAN,Core matrisome,Proteoglycans
VWA5B2,Core matrisome,ECM Glycoproteins
SERPIND1,Matrisome-associated,ECM Regulators
VWDE,Core matrisome,ECM Glycoproteins
PLXNB3,Matrisome-associated,ECM-affiliated Proteins
NPNT,Core matrisome,ECM Glycoproteins
MEGF9,Matrisome-associated,Secreted Factors
GDF1,Matrisome-associated,Secreted Factors
CST3,Matrisome-associated,ECM Regulators
GLDN,Core matrisome,ECM Glycoproteins
TGFB3,Matrisome-associated,Secreted Factors
BMP7,Matrisome-associated,Secreted Factors
SERPINA1,Matrisome-associated,ECM Regulators
CCL8,Matrisome-associated,Secreted Factors
ANXA8,Matrisome-associated,ECM-affiliated Proteins
SDC4,Matrisome-associated,ECM-affiliated Proteins
IL24,Matrisome-associated,Secreted Factors
ADAMTS1,Matrisome-associated,ECM Regulators
CSPG4,Matrisome-associated,ECM-affiliated Proteins
FGF14,Matrisome-associated,Secreted Factors
S100A11,Matrisome-associated,Secreted Factors
IFNA4,Matrisome-associated,Secreted Factors
CXCL3,Matrisome-associated,Secreted Factors
COL6A2,Core matrisome,Collagens
MUC3A,Matrisome-associated,ECM-affiliated Proteins
COL11A1,Core matrisome,Collagens
CST4,Matrisome-associated,ECM Regulators
AEBP1,Core matrisome,ECM Glycoproteins
ADAM23,Matrisome-associated,ECM Regulators
PTN,Matrisome-associated,Secreted Factors
VEGFD,Matrisome-associated,Secreted Factors
C17orf58,Matrisome-associated,ECM Regulators
SEMA4B,Matrisome-associated,ECM-affiliated Proteins
HCFC2,Matrisome-associated,Secreted Factors
COL16A1,Core matrisome,Collagens
C1QTNF4,Matrisome-associated,ECM-affiliated Proteins
ADAM11,Matrisome-associated,ECM Regulators
ADAM22,Matrisome-associated,ECM Regulators
GDF2,Matrisome-associated,Secreted Factors
ADAM32,Matrisome-associated,ECM Regulators
INHA,Matrisome-associated,Secreted Factors
PF4,Matrisome-associated,Secreted Factors
CRLF1,Matrisome-associated,Secreted Factors
SEMA4F,Matrisome-associated,ECM-affiliated Proteins
NRG1,Matrisome-associated,Secreted Factors
TNFSF13,Matrisome-associated,Secreted Factors
AGT,Matrisome-associated,ECM Regulators
LTA,Matrisome-associated,Secreted Factors
SBSPON,Core matrisome,ECM Glycoproteins
SPARCL1,Core matrisome,ECM Glycoproteins
PLXNB2,Matrisome-associated,ECM-affiliated Proteins
EFEMP1,Core matrisome,ECM Glycoproteins
ADAM9,Matrisome-associated,ECM Regulators
MUC5AC,Matrisome-associated,ECM-affiliated Proteins
LMAN1,Matrisome-associated,ECM-affiliated Proteins
S100A6,Matrisome-associated,Secreted Factors
FGF18,Matrisome-associated,Secreted Factors
SEMA4C,Matrisome-associated,ECM-affiliated Proteins
SPARC,Core matrisome,ECM Glycoproteins
LGALS1,Matrisome-associated,ECM-affiliated Proteins
SLIT1,Core matrisome,ECM Glycoproteins
IL34,Matrisome-associated,Secreted Factors
SEMA3A,Matrisome-associated,ECM-affiliated Proteins
CCN1,Core matrisome,ECM Glycoproteins
CTSF,Matrisome-associated,ECM Regulators
CELA3A,Matrisome-associated,ECM Regulators
CLEC18A,Matrisome-associated,ECM-affiliated Proteins
ELSPBP1,Core matrisome,ECM Glycoproteins
SERPINB1,Matrisome-associated,ECM Regulators
GDF11,Matrisome-associated,Secreted Factors
BMP3,Matrisome-associated,Secreted Factors
PLXNA2,Matrisome-associated,ECM-affiliated Proteins
OVGP1,Matrisome-associated,ECM-affiliated Proteins
CRLF3,Matrisome-associated,Secreted Factors
SERPING1,Matrisome-associated,ECM Regulators
ADAMTS3,Matrisome-associated,ECM Regulators
IFNA13,Matrisome-associated,Secreted Factors
MFAP1,Core matrisome,ECM Glycoproteins
P4HTM,Matrisome-associated,ECM Regulators
C1QTNF1,Matrisome-associated,ECM-affiliated Proteins
CCL24,Matrisome-associated,Secreted Factors
EMID1,Core matrisome,ECM Glycoproteins
MUC21,Matrisome-associated,ECM-affiliated Proteins
MASP2,Matrisome-associated,ECM Regulators
FN1,Core matrisome,ECM Glycoproteins
CLEC14A,Matrisome-associated,ECM-affiliated Proteins
CST9L,Matrisome-associated,ECM Regulators
FGF21,Matrisome-associated,Secreted Factors
BGN,Core matrisome,Proteoglycans
CST6,Matrisome-associated,ECM Regulators
WNT11,Matrisome-associated,Secreted Factors
SPON2,Core matrisome,ECM Glycoproteins
LRG1,Core matrisome,ECM Glycoproteins
WNT10B,Matrisome-associated,Secreted Factors
IFNA16,Matrisome-associated,Secreted Factors
GPC4,Matrisome-associated,ECM-affiliated Proteins
PCOLCE,Core matrisome,ECM Glycoproteins
FBLN5,Core matrisome,ECM Glycoproteins
CSHL1,Matrisome-associated,Secreted Factors
SEMA4A,Matrisome-associated,ECM-affiliated Proteins
ANXA5,Matrisome-associated,ECM-affiliated Proteins
RELN,Core matrisome,ECM Glycoproteins
IL13,Matrisome-associated,Secreted Factors
PPBP,Matrisome-associated,Secreted Factors
C1QTNF7,Matrisome-associated,ECM-affiliated Proteins
OGFOD2,Matrisome-associated,ECM Regulators
LAMA1,Core matrisome,ECM Glycoproteins
CSF1,Matrisome-associated,Secreted Factors
IGFBP2,Core matrisome,ECM Glycoproteins
ITIH5,Matrisome-associated,ECM Regulators
LGI3,Core matrisome,ECM Glycoproteins
SERPINB6,Matrisome-associated,ECM Regulators
S100A1,Matrisome-associated,Secreted Factors
IL18,Matrisome-associated,Secreted Factors
CLEC12B,Matrisome-associated,ECM-affiliated Proteins
KITLG,Matrisome-associated,Secreted Factors
IL17F,Matrisome-associated,Secreted Factors
EMCN,Matrisome-associated,ECM-affiliated Proteins
SRGN,Core matrisome,Proteoglycans
CXCL14,Matrisome-associated,Secreted Factors
EBI3,Matrisome-associated,Secreted Factors
IFNA14,Matrisome-associated,Secreted Factors
EGLN2,Matrisome-associated,ECM Regulators
ADAM15,Matrisome-associated,ECM Regulators
REG3A,Matrisome-associated,ECM-affiliated Proteins
MUC5B,Matrisome-associated,ECM-affiliated Proteins
SERPINE2,Matrisome-associated,ECM Regulators
FGF3,Matrisome-associated,Secreted Factors
PLXND1,Matrisome-associated,ECM-affiliated Proteins
SERPINA3,Matrisome-associated,ECM Regulators
PCSK6,Matrisome-associated,ECM Regulators
EGFL7,Matrisome-associated,Secreted Factors
NELL2,Core matrisome,ECM Glycoproteins
CRIM1,Core matrisome,ECM Glycoproteins
CHADL,Core matrisome,Proteoglycans
FGF4,Matrisome-associated,Secreted Factors
ADAMTS8,Matrisome-associated,ECM Regulators
VWF,Core matrisome,ECM Glycoproteins
S100A4,Matrisome-associated,Secreted Factors
FGF1,Matrisome-associated,Secreted Factors
CLEC17A,Matrisome-associated,ECM-affiliated Proteins
ANXA6,Matrisome-associated,ECM-affiliated Proteins
ELFN2,Matrisome-associated,ECM-affiliated Proteins
MST1,Matrisome-associated,Secreted Factors
GPC1,Matrisome-associated,ECM-affiliated Proteins
FLT3LG,Matrisome-associated,Secreted Factors
WNT2,Matrisome-associated,Secreted Factors
ASTL,Matrisome-associated,ECM Regulators
VEGFC,Matrisome-associated,Secreted Factors
COL5A2,Core matrisome,Collagens
FREM1,Matrisome-associated,ECM-affiliated Proteins
WNT5B,Matrisome-associated,Secreted Factors
MFAP3,Core matrisome,ECM Glycoproteins
FGF11,Matrisome-associated,Secreted Factors
CST8,Matrisome-associated,ECM Regulators
CCL18,Matrisome-associated,Secreted Factors
ISM1,Matrisome-associated,Secreted Factors
TNF,Matrisome-associated,Secreted Factors
FSTL3,Matrisome-associated,Secreted Factors
HTRA1,Matrisome-associated,ECM Regulators
KNG1,Matrisome-associated,ECM Regulators
EGLN1,Matrisome-associated,ECM Regulators
IGF1,Matrisome-associated,Secreted Factors
COL18A1,Core matrisome,Collagens
S100A13,Matrisome-associated,Secreted Factors
GREM1,Matrisome-associated,ECM-affiliated Proteins
P4HA2,Matrisome-associated,ECM Regulators
AGRN,Core matrisome,ECM Glycoproteins
MEGF8,Matrisome-associated,Secreted Factors
DPT,Core matrisome,ECM Glycoproteins
LIF,Matrisome-associated,Secreted Factors
CCL26,Matrisome-associated,Secreted Factors
CTSB,Matrisome-associated,ECM Regulators
ITIH4,Matrisome-associated,ECM Regulators
DHH,Matrisome-associated,Secreted Factors
F12,Matrisome-associated,ECM Regulators
INHBE,Matrisome-associated,Secreted Factors
ANXA2,Matrisome-associated,ECM-affiliated Proteins
CCL3L3,Matrisome-associated,Secreted Factors
SEMA3B,Matrisome-associated,ECM-affiliated Proteins
ZFP91,Matrisome-associated,Secreted Factors
ADAM12,Matrisome-associated,ECM Regulators
DCN,Core matrisome,Proteoglycans
COL4A1,Core matrisome,Collagens
CTSZ,Matrisome-associated,ECM Regulators
A2M,Matrisome-associated,ECM Regulators
PRELP,Core matrisome,Proteoglycans
HSPG2,Core matrisome,Proteoglycans
IGFBP4,Core matrisome,ECM Glycoproteins
ADAMTS4,Matrisome-associated,ECM Regulators
CLEC10A,Matrisome-associated,ECM-affiliated Proteins
PLOD3,Matrisome-associated,ECM Regulators
FN1,Core matrisome,ECM Glycoproteins
C1QB,Matrisome-associated,ECM-affiliated Proteins
CCL2,Matrisome-associated,Secreted Factors
LAMB2,Core matrisome,ECM Glycoproteins
PLXDC2,Matrisome-associated,ECM-affiliated Proteins
CSTB,Matrisome-associated,ECM Regulators
EGLN3,Matrisome-associated,ECM Regulators
CCL3,Matrisome-associated,Secreted Factors
COL4A2,Core matrisome,Collagens
IL1F10,Matrisome-associated,Secreted Factors
POMZP3,Core matrisome,ECM Glycoproteins
S100A16,Matrisome-associated,Secreted Factors
LTBP1,Core matrisome,ECM Glycoproteins
FBN3,Core matrisome,ECM Glycoproteins
PLOD1,Matrisome-associated,ECM Regulators
NTNG2,Core matrisome,ECM Glycoproteins
C1QTNF6,Matrisome-associated,ECM-affiliated Proteins
F7,Matrisome-associated,ECM Regulators
COL9A2,Core matrisome,Collagens
BMP8B,Matrisome-associated,Secreted Factors
TNFSF12,Matrisome-associated,Secreted Factors
HYAL2,Matrisome-associated,ECM Regulators
VWF,Core matrisome,ECM Glycoproteins
SEMA3E,Matrisome-associated,ECM-affiliated Proteins
LTBP4,Core matrisome,ECM Glycoproteins
PARM1,Matrisome-associated,ECM-affiliated Proteins
SNED1,Core matrisome,ECM Glycoproteins
GAS6,Core matrisome,ECM Glycoproteins
IL6,Matrisome-associated,Secreted Factors
C1QL2,Matrisome-associated,ECM-affiliated Proteins
ADAMTSL5,Matrisome-associated,ECM Regulators
P4HA1,Matrisome-associated,ECM Regulators
CLEC14A,Matrisome-associated,ECM-affiliated Proteins
VEGFC,Matrisome-associated,Secreted Factors
S100A6,Matrisome-associated,Secreted Factors
COL1A2,Core matrisome,Collagens
ELN,Core matrisome,ECM Glycoproteins
HHIP,Matrisome-associated,Secreted Factors
GH1,Matrisome-associated,Secreted Factors
IGFBP7,Core matrisome,ECM Glycoproteins
NTNG1,Core matrisome,ECM Glycoproteins
MATN4,Core matrisome,ECM Glycoproteins
SERPINB7,Matrisome-associated,ECM Regulators
CX3CL1,Matrisome-associated,Secreted Factors
KITLG,Matrisome-associated,Secreted Factors
WNT5B,Matrisome-associated,Secreted Factors
WNT8A,Matrisome-associated,Secreted Factors
TIMP1,Matrisome-associated,ECM Regulators
MMP28,Matrisome-associated,ECM Regulators
CCN2,Core matrisome,ECM Glycoproteins
CBLN2,Matrisome-associated,Secreted Factors
MUCL1,Matrisome-associated,ECM-affiliated Proteins
ADAMTS1,Matrisome-associated,ECM Regulators
WNT10A,Matrisome-associated,Secreted Factors
MASP2,Matrisome-associated,ECM Regulators
S100Z,Matrisome-associated,Secreted Factors
TGFB3,Matrisome-associated,Secreted Factors
SEMA3A,Matrisome-associated,ECM-affiliated Proteins
LOXL2,Matrisome-associated,ECM Regulators
CELA2A,Matrisome-associated,ECM Regulators
CCL24,Matrisome-associated,Secreted Factors
PRSS3,Matrisome-associated,ECM Regulators
VWA5B2,Core matrisome,ECM Glycoproteins
FLT3LG,Matrisome-associated,Secreted Factors
FCN1,Matrisome-associated,ECM-affiliated Proteins
AEBP1,Core matrisome,ECM Glycoproteins
SPOCK3,Core matrisome,Proteoglycans
WNT9B,Matrisome-associated,Secreted Factors
IFNA14,Matrisome-associated,Secreted Factors
LIF,Matrisome-associated,Secreted Factors
TNXB,Core matrisome,ECM Glycoproteins
CRIM1,Core matrisome,ECM Glycoproteins
SERPING1,Matrisome-associated,ECM Regulators
VWA5A,Core matrisome,ECM Glycoproteins
FGF4,Matrisome-associated,Secreted Factors
ADAM22,Matrisome-associated,ECM Regulators
CLEC4E,Matrisome-associated,ECM-affiliated Proteins
SFRP2,Matrisome-associated,Secreted Factors
PLXNA1,Matrisome-associated,ECM-affiliated Proteins
C1QC,Matrisome-associated,ECM-affiliated Proteins
IL25,Matrisome-associated,Secreted Factors
CTSD,Matrisome-associated,ECM Regulators
PCSK6,Matrisome-associated,ECM Regulators
IL34,Matrisome-associated,Secreted Factors
TIMP2,Matrisome-associated,ECM Regulators
PLAT,Matrisome-associated,ECM Regulators
GDF5,Matrisome-associated,Secreted Factors
LGI4,Core matrisome,ECM Glycoproteins
INTS6L,Core matrisome,ECM Glycoproteins
BGN,Core matrisome,Proteoglycans
GDF1,Matrisome-associated,Secreted Factors
SLIT1,Core matrisome,ECM Glycoproteins
SERPIND1,Matrisome-associated,ECM Regulators
SDC3,Matrisome-associated,ECM-affiliated Proteins
INHA,Matrisome-associated,Secreted Factors
VWDE,Core matrisome,ECM Glycoproteins
C1QL3,Matrisome-associated,ECM-affiliated Proteins
RELN,Core matrisome,ECM Glycoproteins
LMAN1,Matrisome-associated,ECM-affiliated Proteins
IL7,Matrisome-associated,Secreted Factors
WNT3,Matrisome-associated,Secreted Factors
FGF21,Matrisome-associated,Secreted Factors
SEMA6B,Matrisome-associated,ECM-affiliated Proteins
ELSPBP1,Core matrisome,ECM Glycoproteins
C1QTNF7,Matrisome-associated,ECM-affiliated Proteins
CSH2,Matrisome-associated,Secreted Factors
PF4,Matrisome-associated,Secreted Factors
HAPLN4,Core matrisome,Proteoglycans
P4HA2,Matrisome-associated,ECM Regulators
ANXA7,Matrisome-associated,ECM-affiliated Proteins
IGFBP5,Core matrisome,ECM Glycoproteins
MEGF9,Matrisome-associated,Secreted Factors
CLEC6A,Matrisome-associated,ECM-affiliated Proteins
AMH,Matrisome-associated,Secreted Factors
WNT2,Matrisome-associated,Secreted Factors
EMID1,Core matrisome,ECM Glycoproteins
FGF14,Matrisome-associated,Secreted Factors
CST3,Matrisome-associated,ECM Regulators
SERPINI1,Matrisome-associated,ECM Regulators
NCAN,Core matrisome,Proteoglycans
SEMA4F,Matrisome-associated,ECM-affiliated Proteins
CLEC12B,Matrisome-associated,ECM-affiliated Proteins
LAMA5,Core matrisome,ECM Glycoproteins
CCL3L3,Matrisome-associated,Secreted Factors
SERPINH1,Matrisome-associated,ECM Regulators
TNFSF13,Matrisome-associated,Secreted Factors
FGF2,Matrisome-associated,Secreted Factors
FGF13,Matrisome-associated,Secreted Factors
FREM1,Matrisome-associated,ECM-affiliated Proteins
COL6A1,Core matrisome,Collagens
TGFB2,Matrisome-associated,Secreted Factors
ADAM32,Matrisome-associated,ECM Regulators
TNR,Core matrisome,ECM Glycoproteins
THBS3,Core matrisome,ECM Glycoproteins
FGF1,Matrisome-associated,Secreted Factors
BRINP2,Matrisome-associated,Secreted Factors
OGFOD2,Matrisome-associated,ECM Regulators
IGF2,Matrisome-associated,Secreted Factors
PLXNB1,Matrisome-associated,ECM-affiliated Proteins
CST6,Matrisome-associated,ECM Regulators
CTSE,Matrisome-associated,ECM Regulators
ADAMTS10,Matrisome-associated,ECM Regulators
COL27A1,Core matrisome,Collagens
SERPINF1,Matrisome-associated,ECM Regulators
IL36RN,Matrisome-associated,Secreted Factors
FGF17,Matrisome-associated,Secreted Factors
GDF2,Matrisome-associated,Secreted Factors
EGFL7,Matrisome-associated,Secreted Factors
IFNA16,Matrisome-associated,Secreted Factors
BMP7,Matrisome-associated,Secreted Factors
WNT10B,Matrisome-associated,Secreted Factors
MFAP3,Core matrisome,ECM Glycoproteins
DCN,Core matrisome,Proteoglycans
MUC5B,Matrisome-associated,ECM-affiliated Proteins
ASTL,Matrisome-associated,ECM Regulators
